title,url,description,motscles,lieu,type,organization,statut,id,frequency,license,temporal_coverage.start,temporal_coverage.end,created_at,last_modified,quality_score,metric.reuses,metric.followers
Registres d'état civil numérisés par les Archives départementales des Alpes-de-Haute-Provence,http://www.data.gouv.fr/fr/datasets/registres-detat-civil-numerises-par-les-archives-departementales-des-alpes-de-haute-provence/,"Ce jeu de données contient la liste des registres d'état civil des communes du Département qui ont été numérisés (ou microfilmés) par les Archives départementales des Alpes-de-Haute-Provence. Informations disponibles : * La colonne ""type d'acte"" indique pour chaque registre s'il concerne les naissances, les mariages ou les décès. * Les dates extrêmes sont indiquées dans deux colonnes distinctes, ainsi que des détails chronologiques dans une autre colonne. * Le nombre de vues (affichage numérique). * Des indications concernant la mise en ligne des numérisations sont fournies dans les 3 dernières colonnes. Les formats proposés au téléchargement : .XLS et .TXT (séparateur : tabulation) + encodage UTF-8",AD | état-civil | numérisation,Alpes-de-Haute-Provence,archives,Département des Alpes de Haute-Provence,publié,63ab899e4c73a65c459dde9a,,Licence Ouverte / Open Licence version 2.0,,,2022-12-28T01:11:10.840000,2022-12-28T01:11:10.840000,0.44,0,0
"Pièces de théâtre écrites par des femmes, et représentées à Paris entre 1809 et 1906",http://www.data.gouv.fr/fr/datasets/pieces-de-theatre-ecrites-par-des-femmes-et-representees-a-paris-entre-1809-et-1906/,"Les [Archives nationales](https://www.archives-nationales.culture.gouv.fr) conservent une magnifique collection de plus de 30 000 manuscrits de pièces de théâtre soumises au bureau de la censure théâtrale au XIXe siècle. La plupart de ces œuvres n’ont jamais été publiées. Les inventaires et bases de données internes, fruits notamment des travaux en partie publiés d’Odile Krakovitch, sont désormais accessibles en ligne sur le portail documentaire de l’institution.  


Le jeu de données mis à disposition est constitué des 322 pièces de théâtre et opéra écrites ou composées par des femmes (141 autrices et compositrices), représentées dans les théâtres parisiens entre 1809 et 1906. Les notices des pièces de théâtre comportent les informations suivantes :

  * le titre de la pièce ;  

  * le genre théâtral ;  

  * la forme ;  

  * la date de la première représentation ;  

  * le théâtre où a eu lieu la première représentation (Paris) ;
  * la mention d'une édition de la pièce ;  

  * l'existence éventuelle d'une version numérisée accessible en ligne (Wikisource, Gallica, Archive.org ou Google Book) ;  

  * l'autrice (avec alignements Wikidata, Wikipédia et BNF) ;  

  * les autres auteurs éventuels ;  

  * l'URL de la notice descriptive dans l'inventaire des Archives nationales.



Certaines pièces figurent à plusieurs reprises dans le jeu de données : elles ont plusieurs autrices, voire elles ont été autorisées et jouées à des dates différentes dans plusieurs théâtres. 

À noter que la censure étant abolie entre 1830 et septembre 1835, il n'y a pas de données pour cette période dans les archives du bureau de la censure théâtrale.",AN | histoire,France,archives,Ministère de la Culture,publié,63994ae99eefb363aec8cd1d,unknown,Licence Ouverte / Open Licence version 2.0,,,2022-12-14T05:02:49.942000,2022-12-14T05:02:49.942000,0.56,0,1
Liste des Maires depuis 1694 – Ville de Clermont-Ferrand,http://www.data.gouv.fr/fr/datasets/liste-des-maires-depuis-1694-ville-de-clermont-ferrand-4/,"Liste des Maires élus à Clermont-Ferrand depuis 1694.

Ce jeu de données liste les maires élus à Clermont-Ferrand de 1694 à aujourd'hui.",AM | liste-d'individus | histoire | chronologie,Clermont-Ferrand | Puy-de-Dôme,archives,Clermont Auvergne Métropole,publié,6397c0fd1ab5b84650a18348,unknown,Licence Ouverte / Open Licence version 2.0,,,2022-12-13T01:02:05.077000,2022-12-13T01:02:05.077000,0.44,0,0
Evolution de la population des Pays de la Loire de 1876 à 2019,http://www.data.gouv.fr/fr/datasets/evolution-de-la-population-des-pays-de-la-loire-de-1876-a-2019-1/,Evolution de la population des Pays de la Loire de 1876 à 2019 par communes.,AR | population | histoire,Loire-Atlantique | Mayenne | Maine-et-Loire | Vendée | Sarthe,archives,Région des Pays de la Loire,publié,638fd9acffe084f139c8cd1d,unknown,Licence Ouverte / Open Licence version 2.0,,,2022-12-07T01:09:16.110000,2022-12-07T01:09:16.110000,0.44,0,0
Revendications et restitutions d’archives publiques,http://www.data.gouv.fr/fr/datasets/revendications-et-restitutions-darchives-publiques/,"Chaque année, l’État réintègre dans les collections publiques des dizaines de documents d’archives qui en ont été détournés à des périodes plus ou moins anciennes.  
Cette réintégration, effectuée à l’issue d’une « revendication » (terme juridique retenu par le code du patrimoine, [articles L112-22 et 23](https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006074236/LEGISCTA000035105125/#LEGISCTA000035105128)) conduite auprès d’un détenteur privé (professionnel ou particulier), obéit à une double finalité : garantir l’intégrité des biens culturels appartenant à l’Etat et l’accès de tous à ce patrimoine historique national.  
Cette pratique se fonde juridiquement sur les principes d'[inaliénabilité, d'imprescriptibilité](https://francearchives.fr/article/235244911) et d’insaisissabilité des biens appartenant au domaine public, rappelés dans les codes du patrimoine, de la propriété des personnes publiques et des collectivités territoriales.  
Rappelons qu’en matière de gestion d’archives, trois administrations sont habilitées à agir sur ce terrain : le ministère de l’Europe et des Affaires étrangères et le ministère des Armées chacun pour leur propre périmètre, et le ministère de la Culture pour l’ensemble des autres secteurs ministériels.  
Dans un souci de transparence, l’observatoire des revendications a pour vocation de rendre compte de la politique en matière de revendications d’archives publiques.  
Le présent jeu de données agrège l'ensemble des données relatives aux demandes de restitution menées auprès des détenteurs en 2021. A noter que les données émanant du ministère des Armées n’étant pas encore complètes, certaines ne sont pas renseignées.   
Le détail des indicateurs (date de l’action ou de la vente, nombre de lots concernés, description, types de documents, périodes concernées, services instructeurs et destinataires et issue de l’action) est disponible en annexe (téléchargeable via l'onglet ""Export).  
En savoir plus sur l’observatoire des restitutions d'archives publiques (portail national FranceArchives : [Observatoire des restitutions d'archives publiques (FranceArchives) )](https://francearchives.fr/section/672908641/).  
En savoir plus sur l’analyse des données de l'observatoire interministériel des restitutions 2021(portail national FranceArchives : [Analyse des données de l'observatoire interministériel des restitutions 2021 (FranceArchives](https://francearchives.fr/fr/article/668625793))).",SIAF | collecte,France,archives,Ministère de la Culture,publié,6369d49e0096a79ab7f64c85,unknown,Licence Ouverte / Open Licence version 2.0,,,2022-11-08T05:01:34.288000,2022-11-10T08:53:05,0.56,0,0
Délibération de Dracénie Provence Verdon agglomération,http://www.data.gouv.fr/fr/datasets/deliberation-de-dracenie-provence-verdon-agglomeration/,Délibérations du Conseil d'agglomération depuis 2014. Les données historiques sont regroupées par année dans un dossier compressé (.zip). Les délibérations de l'année en cours sont accessibles directement via le site internet de l'agglomération https://www.dracenie.com/fr/deliberations_conseils_agglo,AM | délibération | histoire,Var,archives,Dracénie Provence Verdon agglomération,publié,634f40250409da57a4eacfa4,,Licence Ouverte / Open Licence version 2.0,,,2022-10-18T00:00:00,2022-10-18T00:00:00,0.44,0,0
"Archives départementales de la Haute-Garonne : les rendez-vous, avec géolocalisation",http://www.data.gouv.fr/fr/datasets/archives-departementales-de-la-haute-garonne-les-rendez-vous-avec-geolocalisation/,"Ce jeu de données propose la liste des Rendez-Vous des Archives départementales de la Haute-Garonne : animations, ateliers, conférences, visites découvertes, expositions...",AD | public,Haute-Garonne,archives,Conseil départemental de la Haute-Garonne - Haute-Garonne Open Data,publié,634a30e807cb0c0470eacfa5,unknown,Licence Ouverte / Open Licence version 2.0,,,2022-10-15T06:02:48.544000,2022-10-14T09:05:27,0.44,0,0
Accès anticipé aux archives publiques,http://www.data.gouv.fr/fr/datasets/acces-anticipe-aux-archives-publiques/,"Les archives publiques sont, par principe, librement communicables à tous dès leur création. Par exception, les documents qui contiennent des secrets protégés par la loi ne peuvent être communiqués avant un certain délai. 

Il est toutefois possible de formuler une demande d’accès anticipé par dérogation pour consulter des documents qui ne sont pas encore librement communicables. L'administration des archives – c'est à dire le service interministériel des Archives de France, la direction de la mémoire, du patrimoine et des archives et la direction des archives du ministère des Affaires étrangères – peut en effet autoriser la communication de certains documents avant l'expiration des délais qui les protègent, à condition que l'autorité ou le service qui a produit les documents ne s'y oppose pas.

Dans un souci de transparence, l’Observatoire des dérogations a pour vocation de rendre compte de la politique en matière d’accès aux archives publiques non librement communicables.

Le présent jeu de données agrège l'ensemble des données relatives aux demandes d'accès anticipé aux archives publiques non librement communicables qui ont obtenu une réponse au cours de l'année 2021, à l'exception de celles instruites par les services relevant du ministère des Armées et du ministère de l'Europe et des affaires étrangères. 

Le détail des indicateurs est disponible en annexe (téléchargeable via l'onglet ""Export"").

En savoir plus [sur l'accès par dérogation (portail national FranceArchives)](https://francearchives.fr/fr/article/26287581).  
En savoir plus [sur l’observatoire des dérogations (portail national FranceArchives)](https://francearchives.fr/fr/article/599778100).",SIAF | communication,France,archives,Ministère de la Culture,publié,6348dfd167b474a8a5eacfa4,unknown,Licence Ouverte / Open Licence version 2.0,,,2022-10-14T06:04:33.910000,2022-10-21T07:13:27,0.56,0,1
Missions du service archives de Grand Chambéry,http://www.data.gouv.fr/fr/datasets/missions-du-service-archives-de-grand-chambery/,"#### Le service archives de Grand Chambéry a pour mission : 

  * d'assurer la gestion courante et de disposer en permanence des informations utiles à l’accomplissement des missions de Grand Chambéry. Les archives ont une valeur administrative.
  * d'assurer la justification des droits et des obligations des personnes morales et des citoyens. Les archives ont valeur probante ou juridique.
  * d'assurer la sauvegarde de la mémoire et de l'histoire de la communauté d'agglomération
  * de proposer un accompagnement à l'archivage aux communes et syndicats adhérents.



Les unités de mesure des archives sont le mètre linéaire (ml) et le gigaoctet (Go).

#### [ **En savoir plus sur les activités et les fonds d'archives conservées.**](https://www.grandchambery.fr/908-service-archives-de-chambery-metropole.htm)",AM | fonctionnement,Chambéry | Savoie,archives,Grand Chambéry,publié,631be19211415752837bc420,unknown,Open Data Commons Open Database License (ODbL),,,2022-09-10T03:00:02.666000,2022-09-01T12:39:31,0.56,0,0
Recensement de la population municipale d'Antibes,http://www.data.gouv.fr/fr/datasets/recensement-de-la-population-municipale-dantibes/,"Les chiffres font référence à la catégorie de population dite population municipale, qui fait partie des trois populations légales d’une commune (population municipale, population comptée à part, population totale) qui comprend les personnes ayant leur résidence habituelle sur le territoire de la commune, ainsi que les personnes détenues dans les établissements pénitentiaires de la commune, les personnes sans abri recensées sur le territoire de la commune et les personnes résidant habituellement dans des habitations mobiles, recensées sur le territoire de la commune qui constituent la population hors ménages - Source : Institut national de la statistique et des études économiques (INSEE).

Les populations légales millésimées 2019 entrent en vigueur le 1ᵉʳ janvier 2022. 

Du fait de la crise sanitaire de la Covid-19, l'enquête annuelle de recensement qui devait se tenir en 2021 a été reportée en 2022. L'Insee a adapté ses méthodes de calcul des populations légales pour pallier ce report et continuer à produire des populations légales de qualité chaque année.
",AM | population | histoire,Antibes | Alpes-Maritimes,archives,Ville d'Antibes,publié,630614fa0d34827d26ae27fd,punctual,Licence Ouverte / Open Licence version 2.0,1968-01-01,2019-12-31,2022-08-24T14:09:30.362000,2022-08-24T14:10:31.311000,0.89,0,0
